Agent at position (x: 526.6819, y: 0.1, z: 498.22) marked as 'A'
Building at position (x: -152.31, y: 0.00, z: 34.81) marked as '*'
Building at position (x: -180.73, y: 0.00, z: -55.47) marked as '*'
Building at position (x: -105.09, y: 0.00, z: -56.58) marked as '*'
Building at position (x: -160.10, y: 0.00, z: -24.81) marked as '*'
Building at position (x: -152.41, y: 0.00, z: -53.36) marked as '*'
Building at position (x: -150.70, y: 0.00, z: -37.70) marked as '*'
Building at position (x: -227.90, y: 0.00, z: 3.60) marked as '*'
Building at position (x: -239.73, y: 0.00, z: 6.76) marked as '*'
Building at position (x: -229.89, y: 0.00, z: -56.33) marked as '*'
Building at position (x: -39.60, y: 0.00, z: 112.40) marked as '*'
Building at position (x: -114.70, y: 0.00, z: 145.70) marked as '*'
Building at position (x: -213.57, y: 0.00, z: -36.27) marked as '*'
Building at position (x: -228.07, y: 0.00, z: -24.30) marked as '*'
Building at position (x: -240.86, y: 0.00, z: -53.79) marked as '*'
Building at position (x: -216.03, y: 0.00, z: -52.10) marked as '*'
Building at position (x: -219.10, y: 0.00, z: -85.00) marked as '*'
Building at position (x: -166.00, y: 0.00, z: 35.22) marked as '*'
Building at position (x: -118.13, y: 0.00, z: -54.36) marked as '*'
Building at position (x: -246.96, y: 0.00, z: -83.97) marked as '*'
Building at position (x: -171.00, y: 0.00, z: -85.30) marked as '*'
Building at position (x: -232.91, y: 0.00, z: -85.11) marked as '*'
Building at position (x: -39.90, y: 0.00, z: 145.70) marked as '*'
Building at position (x: -214.90, y: 0.00, z: 5.80) marked as '*'
Building at position (x: -243.44, y: 0.00, z: -43.54) marked as '*'
Building at position (x: -180.90, y: 0.00, z: -42.46) marked as '*'
Building at position (x: -180.84, y: 0.00, z: 5.14) marked as '*'
Building at position (x: -117.69, y: 0.00, z: -28.99) marked as '*'
Building at position (x: -121.50, y: 0.00, z: -83.80) marked as '*'
Bakery at position (x: -49.10001, y: 0, z: -84.10002) marked as 'B'
Bakery at position (x: -166.6, y: 0, z: -54.00002) marked as 'B'
Super Market at position (x: -226.6, y: 0, z: 21.59998) marked as 'M'
Stadium at position (x: -106.6, y: 0, z: 18.09998) marked as 'S'
Drug Store at position (x: -182.13, y: 0, z: -24.91002) marked as 'D'
Gas Station at position (x: -49.89999, y: 0, z: 18) marked as 'G'
Factory at position (x: -48.20001, y: 0, z: -33.71002) marked as 'F'
EnergyPot at position (x: -91.5, y: 0, z: 59.7) marked as 'E'
EnergyPot at position (x: -133.0056, y: 0, z: 159.1648) marked as 'E'
EnergyPot at position (x: 27.8432, y: 0, z: 160.1692) marked as 'E'
EnergyPot at position (x: -51.01503, y: 0, z: 142.5003) marked as 'E'
EnergyPot at position (x: -57.2, y: 0, z: 168.8) marked as 'E'
EnergyPot at position (x: 26.21637, y: 0, z: 62.29694) marked as 'E'
EnergyPot at position (x: -38.35559, y: 0, z: 162.5448) marked as 'E'
EnergyPot at position (x: -96.4549, y: 0, z: 160.4605) marked as 'E'
EnergyPot at position (x: -37.9068, y: 0, z: 157.6492) marked as 'E'
EnergyPot at position (x: -7.751221, y: 0, z: 160.4044) marked as 'E'
EnergyPot at position (x: 7.19, y: 0, z: 3.72) marked as 'E'
EnergyPot at position (x: 4.1, y: 0, z: 91.4) marked as 'E'
EnergyPot at position (x: -51.41357, y: 0, z: 37.76675) marked as 'E'
EnergyPot at position (x: 1.594433, y: 0, z: 124.9647) marked as 'E'
EnergyPot at position (x: -55.9277, y: 0, z: 142.6841) marked as 'E'
EnergyPot at position (x: 31.19447, y: 0, z: 124.0647) marked as 'E'
EnergyPot at position (x: -55.1, y: 0, z: 108.2) marked as 'E'
EnergyPot at position (x: 31.23767, y: 0, z: 3.625122) marked as 'E'
EnergyPot at position (x: 1.863159, y: 0, z: 2.63031) marked as 'E'
EnergyPot at position (x: -52.11504, y: 0, z: 113.1003) marked as 'E'
EnergyPot at position (x: 6.660217, y: 0, z: 45.4101) marked as 'E'
EnergyPot at position (x: -8.2, y: 0, z: 165.3) marked as 'E'
EnergyPot at position (x: -56.32477, y: 0, z: 37.55045) marked as 'E'
EnergyPot at position (x: 27.39442, y: 0, z: 165.0647) marked as 'E'
EnergyPot at position (x: 1.344482, y: 0, z: 86.3671) marked as 'E'
EnergyPot at position (x: -31.26, y: 0, z: 119.81) marked as 'E'
EnergyPot at position (x: -59.82, y: 0, z: 60.83) marked as 'E'
EnergyPot at position (x: -137.8, y: 0, z: 156.6) marked as 'E'
EnergyPot at position (x: 54.75641, y: 0, z: 56.93695) marked as 'E'
EnergyPot at position (x: 4.837341, y: 0, z: 18.10004) marked as 'E'
EnergyPot at position (x: 31.36, y: 0, z: 64.06) marked as 'E'
EnergyPot at position (x: -26.46556, y: 0, z: 122.3747) marked as 'E'
EnergyPot at position (x: 1.744507, y: 0, z: 45.3671) marked as 'E'
EnergyPot at position (x: -132.5568, y: 0, z: 154.2692) marked as 'E'
EnergyPot at position (x: 2.043213, y: 0, z: 120.0692) marked as 'E'
EnergyPot at position (x: -54, y: 0, z: 137.6) marked as 'E'
EnergyPot at position (x: -86.40033, y: 0, z: 57.07019) marked as 'E'
EnergyPot at position (x: -119.8132, y: 0, z: 91.10275) marked as 'E'
EnergyPot at position (x: 26.55817, y: 0, z: 67.20102) marked as 'E'
EnergyPot at position (x: -57.89267, y: 0, z: 91.01379) marked as 'E'
EnergyPot at position (x: -15.94031, y: 0, z: 59.54019) marked as 'E'
EnergyPot at position (x: -55.96497, y: 0, z: 85.92969) marked as 'E'
EnergyPot at position (x: -3.2, y: 0, z: 122.4) marked as 'E'
EnergyPot at position (x: -53.99, y: 0, z: 32.64) marked as 'E'
EnergyPot at position (x: -43.15, y: 0, z: 159.98) marked as 'E'
EnergyPot at position (x: 6.260193, y: 0, z: 86.4101) marked as 'E'
EnergyPot at position (x: -54.88538, y: 0, z: 63.11328) marked as 'E'
EnergyPot at position (x: -21.04, y: 0, z: 62.17) marked as 'E'
EnergyPot at position (x: -16.10535, y: 0, z: 64.45331) marked as 'E'
EnergyPot at position (x: -142.6, y: 0, z: 63.3) marked as 'E'
EnergyPot at position (x: -12.99442, y: 0, z: 162.7352) marked as 'E'
EnergyPot at position (x: 31.64325, y: 0, z: 119.1692) marked as 'E'
EnergyPot at position (x: -114.8978, y: 0, z: 91.17041) marked as 'E'
EnergyPot at position (x: 31.47021, y: 0, z: -1.285095) marked as 'E'
EnergyPot at position (x: -91.21167, y: 0, z: 158.1297) marked as 'E'
EnergyPot at position (x: -117.0827, y: 0, z: 96.14929) marked as 'E'
EnergyPot at position (x: -137.6654, y: 0, z: 65.58328) marked as 'E'
EnergyPot at position (x: -57.02771, y: 0, z: 113.2841) marked as 'E'
EnergyPot at position (x: 36.37317, y: 0, z: 1.065094) marked as 'E'
EnergyPot at position (x: 26.4, y: 0, z: 121.5) marked as 'E'
EnergyPot at position (x: -86.56537, y: 0, z: 61.98331) marked as 'E'
EnergyPot at position (x: 59.9, y: 0, z: 58.7) marked as 'E'
EnergyPot at position (x: -52.98, y: 0, z: 90.83) marked as 'E'
EnergyPot at position (x: 6.997559, y: 0, z: 13.11014) marked as 'E'
EnergyPot at position (x: -54.21505, y: 0, z: 173.7003) marked as 'E'
EnergyPot at position (x: 55.09821, y: 0, z: 61.84103) marked as 'E'
EnergyPot at position (x: 2.83, y: 0, z: 7.45) marked as 'E'
EnergyPot at position (x: 2.081848, y: 0, z: 13.06714) marked as 'E'
EnergyPot at position (x: 22.6, y: 0, z: 162.5) marked as 'E'
EnergyPot at position (x: -54.72034, y: 0, z: 58.20016) marked as 'E'
EnergyPot at position (x: -26.01678, y: 0, z: 117.4792) marked as 'E'
EnergyPot at position (x: 4.5, y: 0, z: 50.4) marked as 'E'
EnergyPot at position (x: -91.66046, y: 0, z: 163.0252) marked as 'E'
EnergyPot at position (x: -59.12772, y: 0, z: 173.8841) marked as 'E'
EnergyPot at position (x: -137.5003, y: 0, z: 60.67017) marked as 'E'
AgentHome1 at position (x: -114.2, y: 0, z: 112.4) marked as '1'
AgentHome2 at position (x: -178.2, y: 0, z: 114.8) marked as '2'
AgentHome3 at position (x: -235.3, y: 0, z: 114.4) marked as '3'
AgentHome4 at position (x: -66.80002, y: 0, z: -86.50002) marked as '4'
AgentHome5 at position (x: -101.4, y: 0, z: -85.00002) marked as '5'
Road at position (x: -34.10001, y: 0, z: -39.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: 150.7) marked as 'R'
Road at position (x: -176.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -76.60001, y: 0, z: 10.69998) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 130.7) marked as 'R'
Road at position (x: -136.6, y: 0, z: 130.7) marked as 'R'
Road at position (x: -16.60001, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -116.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -244.69, y: 0, z: 31.76999) marked as 'R'
Road at position (x: -216.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 70.69998) marked as 'R'
Road at position (x: -116.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -46.60001, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -56.60001, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -76.60001, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -256.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -196.6, y: 0, z: 10.69998) marked as 'R'
Road at position (x: -31.66, y: 0, z: 33.69998) marked as 'R'
Road at position (x: -76.60001, y: 0, z: -29.30002) marked as 'R'
Road at position (x: -46.80002, y: 0, z: 33.69998) marked as 'R'
Road at position (x: -116.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -36.60001, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -236.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -36.84, y: 0, z: 33.69998) marked as 'R'
Road at position (x: -41.70999, y: 0, z: 33.69998) marked as 'R'
Road at position (x: -244.69, y: 0, z: 36.21997) marked as 'R'
Road at position (x: -76.60001, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -76.60001, y: 0, z: 30.69998) marked as 'R'
Road at position (x: -136.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 35.69998) marked as 'R'
Road at position (x: -244.69, y: 0, z: 22.19998) marked as 'R'
Road at position (x: -136.6, y: 0, z: 70.69998) marked as 'R'
Road at position (x: -76.60001, y: 0, z: -49.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: -89.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: -29.30002) marked as 'R'
Road at position (x: -176.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -61.60001, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -33.60001, y: 0, z: -49.18002) marked as 'R'
Road at position (x: -16.60001, y: 0, z: -49.30002) marked as 'R'
Road at position (x: -196.6, y: 0, z: -49.30002) marked as 'R'
Road at position (x: -208.49, y: 0, z: 36.21997) marked as 'R'
Road at position (x: -206.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -208.49, y: 0, z: 27.25998) marked as 'R'
Road at position (x: -256.6, y: 0, z: 110.7) marked as 'R'
Road at position (x: -31.60001, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -51.62003, y: 0, z: 33.69998) marked as 'R'
Road at position (x: -176.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -136.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -33.60001, y: 0, z: -38.70001) marked as 'R'
Road at position (x: -256.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -96.60001, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -33.60001, y: 0, z: -44.14001) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -156.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -16.60001, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -36.60001, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -44.10001, y: 0, z: 15.69998) marked as 'R'
Road at position (x: -76.60001, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -196.6, y: 0, z: 30.69998) marked as 'R'
Road at position (x: -256.6, y: 0, z: 70.69998) marked as 'R'
Road at position (x: -216.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -256.6, y: 0, z: -29.30002) marked as 'R'
Road at position (x: -33.60001, y: 0, z: -26.62003) marked as 'R'
Road at position (x: -196.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -33.60001, y: 0, z: -54.3894) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 20.69998) marked as 'R'
Road at position (x: -44.10001, y: 0, z: 30.69998) marked as 'R'
Road at position (x: -226.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -116.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: 30.69998) marked as 'R'
Road at position (x: -208.49, y: 0, z: 22.19998) marked as 'R'
Road at position (x: -256.6, y: 0, z: 30.69998) marked as 'R'
Road at position (x: -244.69, y: 0, z: 27.25998) marked as 'R'
Road at position (x: -56.60001, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -136.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -241.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -57.09, y: 0, z: 33.69998) marked as 'R'
Road at position (x: -256.6, y: 0, z: 10.69998) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 5.699982) marked as 'R'
Road at position (x: -236.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -96.60001, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -256.6, y: 0, z: 130.7) marked as 'R'
Road at position (x: -156.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -46.60001, y: 0, z: -39.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: 10.69998) marked as 'R'
Road at position (x: -256.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -166.6, y: 0, z: -39.30002) marked as 'R'
Road at position (x: -96.60001, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -226.6, y: 0, z: -39.30002) marked as 'R'
Road at position (x: -256.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -136.6, y: 0, z: -49.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -156.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -176.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -196.6, y: 0, z: -29.30002) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 110.7) marked as 'R'
Road at position (x: -33.60001, y: 0, z: -32.86002) marked as 'R'
Road at position (x: -256.6, y: 0, z: 150.7) marked as 'R'
Road at position (x: -36.60001, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -106.6, y: 0, z: -39.30002) marked as 'R'
Road at position (x: -76.60001, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -96.60001, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -256.6, y: 0, z: -49.30002) marked as 'R'
Road at position (x: -136.6, y: 0, z: 110.7) marked as 'R'
Road at position (x: -196.6, y: 0, z: -69.30002) marked as 'R'
Road at position (x: -208.49, y: 0, z: 31.76999) marked as 'R'
Road at position (x: -56.60001, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -16.60001, y: 0, z: 150.7) marked as 'R'
Road at position (x: -211.6, y: 0, z: 50.69998) marked as 'R'
Road at position (x: -156.6, y: 0, z: 90.69998) marked as 'R'
Road at position (x: -196.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -236.6, y: 0, z: -9.300018) marked as 'R'
Road at position (x: -166.6, y: 0, z: 20.69998) marked as 'R'
Road at position (x: -226.7, y: 0, z: 28.19998) marked as 'R'
Road at position (x: -16.60001, y: 0, z: -29.30002) marked as 'R'
Road at position (x: -226.6, y: 0, z: 8.199982) marked as 'R'
Park at position (x: -169.1, y: 0, z: 130.7) marked as 'P'
Park at position (x: -234.1, y: 0, z: 130.7) marked as 'P'
Park at position (x: -122.4647, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -111.86, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -88.89999, y: 0, z: 70.69998) marked as 'P'
Park at position (x: 7.799988, y: 0, z: -15.80002) marked as 'P'
Park at position (x: -29, y: 0, z: -54.20001) marked as 'P'
Park at position (x: -61.58871, y: 0, z: -33.90002) marked as 'P'
Park at position (x: -186.6, y: 0, z: 138.7) marked as 'P'
Park at position (x: -190.05, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -82.89999, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -147.1, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 55) marked as 'P'
Park at position (x: -46.60001, y: 0, z: 38.19998) marked as 'P'
Park at position (x: 0.8999939, y: 0, z: -45.20001) marked as 'P'
Park at position (x: -34.10001, y: 0, z: 105.7) marked as 'P'
Park at position (x: -187.89, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -207.5531, y: 0, z: 117.32) marked as 'P'
Park at position (x: -61.58871, y: 0, z: -54.20001) marked as 'P'
Park at position (x: -46.60001, y: 0, z: 102.98) marked as 'P'
Park at position (x: -93.5, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -179.59, y: 0, z: 102.98) marked as 'P'
Park at position (x: -56.20001, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -206.6, y: 0, z: 130) marked as 'P'
Park at position (x: 0.8999939, y: 0, z: 91.59998) marked as 'P'
Park at position (x: -56, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -94, y: 0, z: 63.79999) marked as 'P'
Park at position (x: 0.8999939, y: 0, z: 12.09998) marked as 'P'
Park at position (x: -280.3, y: 0, z: 141.3) marked as 'P'
Park at position (x: -72.47, y: 0, z: 102.98) marked as 'P'
Park at position (x: -31, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -244.1913, y: 0, z: 102.5) marked as 'P'
Park at position (x: -61.58871, y: 0, z: -24.90002) marked as 'P'
Park at position (x: -69.30002, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -41.20001, y: 0, z: 136.2) marked as 'P'
Park at position (x: -270.5, y: 0, z: 130.9) marked as 'P'
Park at position (x: -94.70001, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -175.5, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -270.2, y: 0, z: -77.20001) marked as 'P'
Park at position (x: -195.7, y: 0, z: 110.56) marked as 'P'
Park at position (x: 7.799988, y: 0, z: -47.10002) marked as 'P'
Park at position (x: -76.603, y: 0, z: 80.19998) marked as 'P'
Park at position (x: -95.39999, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -64.20001, y: 0, z: 24.89996) marked as 'P'
Park at position (x: -156.08, y: 0, z: 138.7) marked as 'P'
Park at position (x: -123.54, y: 0, z: 102.98) marked as 'P'
Park at position (x: -69.30002, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -68.13, y: 0, z: 105.7) marked as 'P'
Park at position (x: -215.86, y: 0, z: 124.12) marked as 'P'
Park at position (x: -235.83, y: 0, z: 70.10999) marked as 'P'
Park at position (x: 0, y: 0, z: 102.3) marked as 'P'
Park at position (x: -218.24, y: 0, z: 110.56) marked as 'P'
Park at position (x: -29, y: 0, z: -33.90002) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 113.8) marked as 'P'
Park at position (x: -177.32, y: 0, z: 102.98) marked as 'P'
Park at position (x: -81.5, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -270.5, y: 0, z: 29.09998) marked as 'P'
Park at position (x: -280.3, y: 0, z: 128.6) marked as 'P'
Park at position (x: -173.5, y: 0, z: 147.06) marked as 'P'
Park at position (x: -218.76, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -61.58871, y: 0, z: -44.10002) marked as 'P'
Park at position (x: -276, y: 0, z: 12.09998) marked as 'P'
Park at position (x: -122.1, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -63, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -95.39999, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -280.3, y: 0, z: 113.8) marked as 'P'
Park at position (x: -70, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -68.60001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -67.89999, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -29, y: 0, z: -44.10002) marked as 'P'
Park at position (x: -76.60001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -115.9, y: 0, z: 138.7) marked as 'P'
Park at position (x: -80.10001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -76.60001, y: 0, z: 130.7) marked as 'P'
Park at position (x: -59.53, y: 0, z: 138.7) marked as 'P'
Park at position (x: -205.5, y: 0, z: 138.7) marked as 'P'
Park at position (x: -196.6, y: 0, z: 80.19998) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 128.6) marked as 'P'
Park at position (x: -214.763, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 154.3) marked as 'P'
Park at position (x: -126.103, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -280.3, y: 0, z: 39.5) marked as 'P'
Park at position (x: -121.1, y: 0, z: 136.2) marked as 'P'
Park at position (x: -29.10001, y: 0, z: -39.30002) marked as 'P'
Park at position (x: -64.20001, y: 0, z: 3.199982) marked as 'P'
Park at position (x: -114.5, y: 0, z: 69.37) marked as 'P'
Park at position (x: -196.6, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -246.1, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -56.80002, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -278, y: 0, z: -31.30002) marked as 'P'
Park at position (x: 0, y: 0, z: -61.40002) marked as 'P'
Park at position (x: 7.5, y: 0, z: 143.9) marked as 'P'
Park at position (x: -81.5, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -214.8, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -93.38, y: 0, z: 102.98) marked as 'P'
Park at position (x: -158.5, y: 0, z: 70.10999) marked as 'P'
Park at position (x: 7.5, y: 0, z: 29.09998) marked as 'P'
Park at position (x: -118, y: 0, z: 105.7) marked as 'P'
Park at position (x: -169.73, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -161.15, y: 0, z: 102.98) marked as 'P'
Park at position (x: -151, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -241.6, y: 0, z: 117.27) marked as 'P'
Park at position (x: -202.29, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -201.6, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -44.89999, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -178.2, y: 0, z: 138.3) marked as 'P'
Park at position (x: -44.55002, y: 0, z: 102.98) marked as 'P'
Park at position (x: 7.5, y: 0, z: 44.59998) marked as 'P'
Park at position (x: -58.70001, y: 0, z: 105.7) marked as 'P'
Park at position (x: -106.6, y: 0, z: 20.69998) marked as 'P'
Park at position (x: -64.20001, y: 0, z: 31.59998) marked as 'P'
Park at position (x: -49.70001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -147.1, y: 0, z: 147.06) marked as 'P'
Park at position (x: -27.103, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -69.74002, y: 0, z: 138.7) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 39.5) marked as 'P'
Park at position (x: -196.6, y: 0, z: 61.19998) marked as 'P'
Park at position (x: -82.89999, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -54.60001, y: 0, z: 77.81998) marked as 'P'
Park at position (x: 0, y: 0, z: 76.5) marked as 'P'
Park at position (x: -158.2, y: 0, z: 71.70996) marked as 'P'
Park at position (x: -150.2, y: 0, z: 138.3) marked as 'P'
Park at position (x: -51.60001, y: 0, z: 114) marked as 'P'
Park at position (x: -276, y: 0, z: 65.29999) marked as 'P'
Park at position (x: -83.60001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -176.2, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -188.61, y: 0, z: 77.81998) marked as 'P'
Park at position (x: 7.5, y: 0, z: 12.29999) marked as 'P'
Park at position (x: -276.6, y: 0, z: 30.69998) marked as 'P'
Park at position (x: -196.6, y: 0, z: 130.7) marked as 'P'
Park at position (x: -84.30002, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -101.57, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -202.94, y: 0, z: 110.56) marked as 'P'
Park at position (x: 0, y: 0, z: 0) marked as 'P'
Park at position (x: -178.23, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -55.39999, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -47.5, y: 0, z: 3.199982) marked as 'P'
Park at position (x: -241.6, y: 0, z: 138.81) marked as 'P'
Park at position (x: -204.38, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -165.87, y: 0, z: 114) marked as 'P'
Park at position (x: -171.06, y: 0, z: 108.2) marked as 'P'
Park at position (x: -83.70001, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -174.64, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -37.10001, y: 0, z: 69.37) marked as 'P'
Park at position (x: -173.85, y: 0, z: 70.69998) marked as 'P'
